"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2026","23.760","23.760","23.760","23.760","","0.61%"
"01/09/2026","23.615","23.615","23.615","23.615","","4.01%"
"31/08/2026","22.705","22.705","22.705","22.705","","-2.03%"
"28/08/2026","23.175","23.175","23.175","23.175","","-1.00%"
"27/08/2026","23.410","23.410","23.410","23.410","","2.03%"
"26/08/2026","22.945","22.945","22.945","22.945","","-1.61%"
"25/08/2026","23.320","23.320","23.320","23.320","","-0.81%"
"24/08/2026","23.510","23.510","23.510","23.510","","2.48%"
"21/08/2026","22.940","22.940","22.940","22.940","","1.46%"
"20/08/2026","22.610","22.610","22.610","22.610","","2.38%"
"19/08/2026","22.085","22.085","22.085","22.085","","0.91%"
"18/08/2026","21.885","21.885","21.885","21.885","","1.25%"
"17/08/2026","21.615","21.615","21.615","21.615","","1.87%"
"14/08/2026","21.219","21.219","21.219","21.219","","0.11%"
"13/08/2026","21.195","21.195","21.195","21.195","","-0.21%"
"12/08/2026","21.240","21.240","21.240","21.240","","0.26%"
"11/08/2026","21.185","21.185","21.185","21.185","","-0.35%"
"10/08/2026","21.260","21.260","21.260","21.260","","0.69%"
"07/08/2026","21.115","21.115","21.115","21.115","","-0.12%"
"06/08/2026","21.140","21.140","21.140","21.140","","1.08%"
"05/08/2026","20.915","20.915","20.915","20.915","","-1.23%"
"04/08/2026","21.175","21.175","21.175","21.175","","-0.38%"
"03/08/2026","21.255","21.255","21.255","21.255","","-0.91%"
"31/07/2026","21.450","21.450","21.450","21.450","","0.35%"
"30/07/2026","21.375","21.375","21.375","21.375","","-0.26%"
"29/07/2026","21.430","21.430","21.430","21.430","","0.49%"
"28/07/2026","21.325","21.325","21.325","21.325","","-0.49%"
"27/07/2026","21.430","21.430","21.430","21.430","","-2.59%"
"24/07/2026","22.000","22.000","22.000","22.000","","0.80%"
"23/07/2026","21.825","21.825","21.825","21.825","","-0.80%"
"22/07/2026","22.000","22.000","22.000","22.000","","3.12%"
"21/07/2026","21.335","21.335","21.335","21.335","","1.47%"
"20/07/2026","21.025","21.025","21.025","21.025","","0.19%"
"17/07/2026","20.985","20.985","20.985","20.985","","5.32%"
"16/07/2026","19.925","19.925","19.925","19.925","","18.54%"
"15/07/2026","16.808","16.808","16.808","16.808","","0.92%"
"14/07/2026","16.655","16.655","16.655","16.655","","0.76%"
"13/07/2026","16.530","16.530","16.530","16.530","","0.06%"
"10/07/2026","16.520","16.520","16.520","16.520","","-0.33%"
"09/07/2026","16.575","16.575","16.575","16.575","","0.39%"
"08/07/2026","16.510","16.510","16.510","16.510","","2.07%"
"07/07/2026","16.175","16.175","16.175","16.175","","0.68%"
